team,season,name,team,position,situation,games_played,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
SEA,2022,SEA,SEA,Team Level,5on4,8,0.91,0.88,0.85,2797.0,37.52,4.72,3.08,7.22,1.09,23.94,12.95,4.63,4.72,4.63,39.0,14.0,14.0,67.0,9.0,2.0,1.0,4.0,0.0,20.0,18.0,30.0,44.0,2.0,4.0,19.0,2.0,0.0,3.0,42.0,5.0,6.0,0.79,0.53,3.4,2.0,1.0,6.0,67.0,53.0,53.0,0.0,0.76,0.92,0.92,4.55,4.55,4.46,5.57,0.46,0.41,1.06,0.27,2.68,4.12,0.46,0.46,0.46,5.0,4.0,0.0,9.0,2.0,0.0,0.0,1.0,0.0,2.0,4.0,3.0,7.0,1.0,2.0,23.0,8.0,5.0,3.0,8.0,0.0,1.0,0.21,0.0,0.25,1.0,0.0,1.0,9.0,9.0,9.0,2.0,0.09,0.0,0.0,0.55,0.55,0.55
WPG,2022,WPG,WPG,Team Level,other,6,0.49,0.55,0.52,909.0,8.94,2.42,0.44,1.57,0.25,3.67,3.64,2.42,2.42,2.42,11.0,1.0,6.0,18.0,4.0,0.0,0.0,0.0,0.0,4.0,4.0,7.0,8.0,0.0,0.0,7.0,5.0,1.0,2.0,7.0,2.0,3.0,0.23,0.27,1.92,1.0,1.0,2.0,18.0,12.0,12.0,1.0,0.12,0.0,0.0,2.54,2.54,2.54,7.64,2.5,0.44,1.32,0.25,4.08,2.42,2.46,2.5,2.46,6.0,5.0,4.0,15.0,3.0,0.0,0.0,1.0,0.0,5.0,2.0,3.0,8.0,0.0,0.0,11.0,5.0,1.0,1.0,4.0,3.0,4.0,0.18,0.37,1.95,1.0,0.0,2.0,15.0,11.0,11.0,1.0,0.13,0.0,0.0,2.63,2.63,2.58
WPG,2022,WPG,WPG,Team Level,all,6,0.5,0.5,0.5,21631.0,193.8,17.56,13.07,44.9,6.39,109.48,79.6,17.03,17.46,16.95,189.0,82.0,86.0,357.0,16.0,12.0,3.0,35.0,3.0,96.0,109.0,173.0,255.0,21.0,45.0,140.0,174.0,44.0,64.0,210.0,46.0,15.0,6.72,5.4,5.44,6.0,6.0,4.0,355.22,271.0,271.94,45.0,2.85,1.9,1.9,18.51,18.47,18.16,190.33,17.89,12.88,45.4,6.37,108.13,77.35,17.37,17.98,17.46,188.0,80.0,90.0,358.0,17.0,15.0,0.0,30.0,6.0,95.0,105.0,171.0,251.0,24.0,53.0,160.0,122.0,25.0,75.0,204.0,45.0,19.0,6.15,5.3,6.43,9.0,3.0,5.0,361.18,268.0,268.4,51.0,2.79,2.38,2.38,18.29,18.36,17.97
WPG,2022,WPG,WPG,Team Level,5on5,6,0.49,0.48,0.49,17653.0,152.44,11.7,9.66,36.85,5.05,86.05,63.7,11.28,11.6,11.19,151.0,62.0,68.0,281.0,10.0,11.0,3.0,34.0,1.0,71.0,86.0,141.0,203.0,18.0,39.0,109.0,164.0,40.0,49.0,170.0,33.0,10.0,5.43,3.76,2.51,5.0,4.0,1.0,279.22,213.0,213.94,37.0,1.98,1.87,1.87,11.8,11.77,11.58,156.68,12.26,10.11,39.01,5.16,88.29,65.17,11.87,12.36,11.96,153.0,67.0,80.0,300.0,10.0,10.0,0.0,25.0,6.0,78.0,91.0,143.0,210.0,22.0,49.0,129.0,112.0,20.0,64.0,175.0,33.0,12.0,5.25,4.0,3.02,7.0,2.0,1.0,303.18,220.0,220.4,43.0,2.07,1.95,1.95,12.38,12.45,12.18
WPG,2022,WPG,WPG,Team Level,4on5,6,0.2,0.12,0.14,1264.0,4.13,0.7,0.35,0.58,0.12,1.09,2.16,0.66,0.7,0.66,2.0,3.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,5.0,1.0,2.0,8.0,3.0,2.0,5.0,2.0,2.0,1.0,0.11,0.3,0.3,0.0,0.0,0.0,5.0,5.0,5.0,5.0,0.08,0.0,0.0,0.78,0.78,0.73,21.92,2.77,2.08,4.53,0.86,14.56,7.19,2.68,2.77,2.68,25.0,7.0,6.0,38.0,4.0,5.0,0.0,4.0,0.0,12.0,7.0,21.0,28.0,1.0,2.0,11.0,1.0,0.0,3.0,22.0,7.0,3.0,0.61,0.7,1.47,1.0,1.0,2.0,38.0,32.0,32.0,1.0,0.53,0.43,0.43,2.87,2.87,2.8
WPG,2022,WPG,WPG,Team Level,5on4,6,0.88,0.91,0.89,1805.0,28.3,2.74,2.61,5.91,0.97,18.68,10.09,2.68,2.74,2.68,25.0,16.0,12.0,53.0,2.0,1.0,0.0,1.0,2.0,19.0,16.0,23.0,39.0,2.0,4.0,16.0,2.0,1.0,8.0,31.0,9.0,1.0,0.96,1.07,0.71,0.0,1.0,1.0,53.0,41.0,41.0,2.0,0.67,0.03,0.03,3.38,3.38,3.31,4.08,0.36,0.25,0.54,0.09,1.18,2.57,0.36,0.36,0.36,4.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,5.0,1.0,2.0,9.0,4.0,4.0,7.0,3.0,2.0,0.0,0.12,0.24,0.0,0.0,0.0,0.0,5.0,5.0,5.0,6.0,0.06,0.0,0.0,0.42,0.42,0.42
NSH,2022,NSH,NSH,Team Level,other,7,0.46,0.61,0.59,1588.0,23.06,3.99,1.77,4.11,0.81,14.52,7.81,3.83,3.99,3.83,18.0,15.0,13.0,46.0,3.0,0.0,0.0,4.0,0.0,10.0,16.0,15.0,30.0,0.0,0.0,20.0,4.0,2.0,4.0,18.0,13.0,2.0,0.95,1.56,1.48,1.0,1.0,1.0,46.0,33.0,33.0,2.0,0.49,0.0,0.0,4.48,4.48,4.27,16.47,4.6,1.02,2.4,0.51,8.53,5.94,4.37,4.6,4.37,13.0,10.0,7.0,30.0,4.0,0.0,0.0,5.0,0.0,9.0,5.0,9.0,19.0,1.0,2.0,15.0,6.0,3.0,3.0,11.0,7.0,5.0,0.49,0.76,3.35,0.0,2.0,2.0,30.0,23.0,23.0,2.0,0.26,0.0,0.0,4.87,4.87,4.61
NSH,2022,NSH,NSH,Team Level,all,7,0.47,0.52,0.51,25500.0,224.17,22.47,15.8,51.31,7.58,128.74,87.09,21.21,22.34,21.07,202.0,111.0,124.0,437.0,16.0,19.0,6.0,52.0,6.0,105.0,116.0,186.0,297.0,33.0,86.0,229.0,202.0,52.0,51.0,223.0,71.0,19.0,7.17,8.61,6.7,7.0,4.0,5.0,430.88,313.0,309.33,21.0,3.53,3.98,3.98,22.02,21.76,20.87,220.12,25.01,15.6,48.96,7.69,121.0,83.75,24.03,25.23,24.25,217.0,85.0,107.0,409.0,23.0,21.0,3.0,50.0,3.0,99.0,106.0,194.0,279.0,35.0,82.0,197.0,155.0,43.0,50.0,207.0,72.0,23.0,6.18,9.02,9.8,6.0,9.0,8.0,414.59,302.0,304.95,24.0,3.53,5.07,5.07,23.47,23.7,23.18
NSH,2022,NSH,NSH,Team Level,5on5,7,0.5,0.52,0.52,18681.0,160.98,13.86,10.82,39.47,5.5,89.29,64.05,13.25,13.72,13.11,147.0,76.0,89.0,312.0,12.0,17.0,6.0,40.0,5.0,68.0,82.0,135.0,211.0,27.0,74.0,165.0,187.0,43.0,37.0,168.0,42.0,13.0,5.09,5.15,3.61,6.0,3.0,3.0,305.88,223.0,219.33,18.0,2.23,3.58,3.58,12.51,12.26,11.97,150.25,13.99,9.92,35.63,5.11,83.5,59.86,13.63,14.21,13.85,149.0,59.0,76.0,284.0,14.0,13.0,1.0,34.0,1.0,66.0,80.0,135.0,194.0,31.0,74.0,134.0,142.0,33.0,37.0,146.0,53.0,9.0,4.63,6.86,2.5,6.0,7.0,1.0,289.59,208.0,210.95,17.0,2.04,2.93,2.93,13.1,13.34,13.18
NSH,2022,NSH,NSH,Team Level,4on5,7,0.05,0.07,0.09,2533.0,4.4,0.3,0.18,0.52,0.11,1.39,3.49,0.3,0.3,0.3,4.0,2.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,4.0,6.0,1.0,2.0,21.0,8.0,7.0,2.0,4.0,2.0,0.0,0.11,0.19,0.0,0.0,0.0,0.0,6.0,6.0,6.0,1.0,0.04,0.0,0.0,0.34,0.34,0.34,46.3,5.5,4.3,9.93,1.89,26.98,13.41,5.11,5.5,5.11,48.0,14.0,21.0,83.0,4.0,8.0,2.0,9.0,2.0,22.0,17.0,44.0,58.0,1.0,2.0,26.0,2.0,0.0,4.0,45.0,10.0,7.0,0.89,1.19,3.41,0.0,0.0,4.0,83.0,62.0,62.0,0.0,1.14,2.14,2.14,4.49,4.49,4.39
NSH,2022,NSH,NSH,Team Level,5on4,7,0.82,0.86,0.85,2698.0,35.73,4.32,3.02,7.21,1.15,23.55,11.74,3.84,4.32,3.84,33.0,18.0,22.0,73.0,1.0,2.0,0.0,7.0,1.0,25.0,15.0,32.0,50.0,5.0,10.0,23.0,3.0,0.0,8.0,33.0,14.0,4.0,1.02,1.7,1.6,0.0,0.0,1.0,73.0,51.0,51.0,0.0,0.77,0.41,0.41,4.68,4.68,4.29,7.11,0.92,0.36,1.0,0.19,1.99,4.53,0.92,0.92,0.92,7.0,2.0,3.0,12.0,1.0,0.0,0.0,2.0,0.0,2.0,4.0,6.0,8.0,2.0,4.0,22.0,5.0,7.0,6.0,5.0,2.0,2.0,0.17,0.21,0.54,0.0,0.0,1.0,12.0,9.0,9.0,5.0,0.09,0.0,0.0,1.01,1.01,1.0
TOR,2022,TOR,TOR,Team Level,other,7,0.67,0.6,0.59,1097.0,12.74,2.11,1.4,2.22,0.46,7.12,3.68,2.05,2.11,2.05,12.0,5.0,11.0,28.0,3.0,1.0,0.0,3.0,0.0,6.0,4.0,9.0,14.0,0.0,0.0,8.0,3.0,8.0,5.0,10.0,1.0,6.0,0.29,0.1,1.72,0.0,1.0,2.0,28.0,17.0,17.0,4.0,0.4,0.04,0.04,2.47,2.47,2.41,8.47,1.04,0.62,1.73,0.29,5.64,2.67,1.03,1.04,1.03,8.0,4.0,7.0,19.0,1.0,1.0,0.0,0.0,0.0,5.0,5.0,7.0,11.0,0.0,0.0,10.0,10.0,2.0,1.0,9.0,1.0,2.0,0.19,0.09,0.76,0.0,0.0,1.0,19.0,12.0,12.0,0.0,0.15,0.22,0.22,0.97,0.97,0.97
TOR,2022,TOR,TOR,Team Level,all,7,0.54,0.54,0.53,25426.0,223.87,25.49,17.25,50.75,7.67,122.02,84.83,24.08,25.39,23.99,225.0,83.0,131.0,439.0,19.0,22.0,3.0,54.0,7.0,100.0,106.0,206.0,289.0,28.0,59.0,203.0,195.0,74.0,87.0,210.0,64.0,34.0,6.6,8.6,10.28,2.0,8.0,9.0,436.83,308.0,305.88,52.0,3.89,4.78,4.83,24.54,24.37,23.52,202.11,21.82,14.42,46.38,6.63,106.56,76.21,21.08,22.07,21.33,188.0,84.0,104.0,376.0,18.0,23.0,6.0,45.0,11.0,76.0,99.0,170.0,254.0,32.0,65.0,186.0,232.0,65.0,86.0,189.0,55.0,28.0,5.66,7.0,9.15,4.0,2.0,12.0,380.68,272.0,275.49,62.0,3.17,5.22,5.22,19.77,20.04,19.73
TOR,2022,TOR,TOR,Team Level,5on5,7,0.49,0.53,0.52,19379.0,165.91,15.47,11.62,39.28,5.46,91.52,65.64,14.88,15.37,14.78,168.0,61.0,101.0,330.0,10.0,12.0,2.0,47.0,7.0,68.0,85.0,158.0,219.0,28.0,59.0,161.0,186.0,58.0,67.0,167.0,50.0,12.0,5.28,6.75,3.43,2.0,6.0,2.0,327.83,229.0,226.88,44.0,2.42,2.65,2.69,15.19,15.02,14.64,157.32,15.98,11.02,37.03,5.21,80.99,59.77,15.41,16.24,15.66,148.0,62.0,81.0,291.0,12.0,19.0,4.0,39.0,9.0,57.0,74.0,136.0,198.0,28.0,57.0,132.0,205.0,57.0,62.0,143.0,47.0,20.0,4.56,6.02,5.4,4.0,2.0,6.0,295.68,210.0,213.49,53.0,2.3,3.82,3.82,14.47,14.74,14.53
TOR,2022,TOR,TOR,Team Level,4on5,7,0.28,0.21,0.24,2320.0,9.09,1.6,0.72,1.47,0.38,3.48,5.34,1.6,1.6,1.6,12.0,1.0,1.0,14.0,0.0,1.0,0.0,1.0,0.0,8.0,3.0,12.0,13.0,0.0,0.0,16.0,3.0,6.0,4.0,7.0,2.0,4.0,0.19,0.39,1.03,0.0,0.0,0.0,14.0,13.0,13.0,3.0,0.16,0.3,0.3,1.47,1.47,1.47,29.36,4.09,2.35,6.58,0.93,17.86,9.18,3.98,4.09,3.98,26.0,15.0,13.0,54.0,5.0,3.0,2.0,5.0,2.0,13.0,13.0,21.0,36.0,4.0,8.0,25.0,6.0,1.0,16.0,30.0,6.0,5.0,0.66,0.74,2.69,0.0,0.0,5.0,54.0,41.0,41.0,2.0,0.62,1.19,1.19,3.52,3.52,3.47
TOR,2022,TOR,TOR,Team Level,5on4,7,0.9,0.85,0.84,2630.0,36.12,6.3,3.51,7.78,1.36,19.89,10.16,5.56,6.3,5.56,33.0,16.0,18.0,67.0,6.0,8.0,1.0,3.0,0.0,18.0,14.0,27.0,43.0,0.0,0.0,18.0,3.0,2.0,11.0,26.0,11.0,12.0,0.84,1.36,4.1,0.0,1.0,5.0,67.0,49.0,49.0,1.0,0.91,1.8,1.8,5.41,5.41,5.0,6.96,0.71,0.42,1.03,0.2,2.06,4.58,0.66,0.71,0.66,6.0,3.0,3.0,12.0,0.0,0.0,0.0,1.0,0.0,1.0,7.0,6.0,9.0,0.0,0.0,19.0,11.0,5.0,7.0,7.0,1.0,1.0,0.26,0.15,0.3,0.0,0.0,0.0,12.0,9.0,9.0,7.0,0.1,0.0,0.0,0.8,0.8,0.75
MIN,2022,MIN,MIN,Team Level,other,6,0.73,0.6,0.62,1466.0,25.09,7.09,1.86,4.45,0.91,11.79,6.9,4.18,7.09,4.18,24.0,9.0,9.0,42.0,3.0,6.0,1.0,4.0,0.0,15.0,5.0,21.0,30.0,2.0,4.0,17.0,5.0,2.0,6.0,10.0,12.0,11.0,0.31,1.57,5.2,0.0,2.0,1.0,42.0,33.0,33.0,3.0,0.6,2.56,2.56,5.13,5.13,3.33,15.08,2.66,1.07,2.8,0.44,8.01,5.01,2.42,2.66,2.42,17.0,3.0,8.0,28.0,4.0,1.0,1.0,3.0,0.0,6.0,6.0,13.0,16.0,5.0,10.0,18.0,2.0,2.0,3.0,8.0,9.0,3.0,0.29,1.15,1.22,0.0,1.0,3.0,28.0,20.0,20.0,1.0,0.3,0.37,0.37,2.59,2.59,2.3
MIN,2022,MIN,MIN,Team Level,all,6,0.54,0.51,0.5,22071.0,193.56,23.11,13.76,42.35,6.37,104.4,75.01,19.55,22.71,19.17,205.0,60.0,93.0,358.0,22.0,18.0,3.0,32.0,5.0,101.0,87.0,183.0,243.0,34.0,72.0,165.0,121.0,38.0,49.0,176.0,59.0,30.0,5.34,6.99,10.78,4.0,11.0,7.0,347.6,265.0,257.54,35.0,3.23,5.23,5.23,21.11,20.72,18.47,193.02,19.95,13.96,43.46,6.11,105.73,73.78,19.13,20.55,19.71,203.0,60.0,87.0,350.0,28.0,16.0,4.0,39.0,5.0,81.0,94.0,175.0,235.0,36.0,78.0,178.0,101.0,35.0,41.0,186.0,56.0,21.0,5.25,6.79,7.91,7.0,11.0,10.0,364.91,263.0,273.82,25.0,3.14,3.43,3.48,19.61,20.2,19.61
MIN,2022,MIN,MIN,Team Level,5on5,6,0.47,0.48,0.48,16442.0,126.98,11.07,8.51,30.14,4.11,68.5,51.66,10.63,10.66,10.24,133.0,41.0,68.0,242.0,10.0,9.0,2.0,25.0,4.0,65.0,61.0,123.0,164.0,30.0,64.0,113.0,109.0,33.0,40.0,128.0,33.0,13.0,3.66,3.88,3.53,2.0,5.0,3.0,231.6,174.0,166.53,30.0,1.77,2.31,2.31,10.53,10.14,9.93,140.08,12.48,9.38,33.26,4.44,75.57,55.86,12.03,13.07,12.6,148.0,43.0,66.0,257.0,20.0,11.0,3.0,30.0,3.0,58.0,69.0,128.0,171.0,28.0,62.0,126.0,95.0,25.0,28.0,137.0,43.0,11.0,4.29,5.04,3.16,7.0,10.0,3.0,271.91,191.0,201.82,19.0,1.95,2.68,2.74,11.69,12.29,12.06
MIN,2022,MIN,MIN,Team Level,4on5,6,0.1,0.16,0.19,2295.0,8.18,0.46,0.31,1.43,0.23,2.59,5.98,0.46,0.46,0.46,9.0,2.0,0.0,11.0,1.0,0.0,0.0,0.0,0.0,3.0,7.0,8.0,10.0,0.0,0.0,17.0,6.0,2.0,1.0,10.0,0.0,1.0,0.21,0.0,0.24,0.0,0.0,1.0,11.0,11.0,11.0,1.0,0.08,0.0,0.0,0.53,0.53,0.53,33.87,3.92,3.28,6.87,1.11,21.13,10.69,3.83,3.92,3.83,33.0,14.0,12.0,59.0,4.0,4.0,0.0,5.0,2.0,16.0,16.0,29.0,43.0,2.0,4.0,22.0,1.0,2.0,8.0,39.0,3.0,5.0,0.59,0.5,2.83,0.0,0.0,4.0,59.0,47.0,47.0,3.0,0.83,0.37,0.37,4.39,4.39,4.34
MIN,2022,MIN,MIN,Team Level,5on4,6,0.84,0.91,0.9,1868.0,33.31,4.51,3.08,6.33,1.12,21.51,10.46,4.29,4.51,4.29,39.0,8.0,16.0,63.0,8.0,3.0,0.0,3.0,1.0,18.0,14.0,31.0,39.0,2.0,4.0,18.0,1.0,1.0,2.0,28.0,14.0,5.0,1.15,1.54,1.81,2.0,4.0,2.0,63.0,47.0,47.0,1.0,0.78,0.37,0.37,4.92,4.92,4.68,3.99,0.88,0.23,0.53,0.12,1.02,2.23,0.86,0.88,0.86,5.0,0.0,1.0,6.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,5.0,5.0,1.0,2.0,12.0,3.0,6.0,2.0,2.0,1.0,2.0,0.08,0.11,0.69,0.0,0.0,0.0,6.0,5.0,5.0,2.0,0.05,0.0,0.0,0.94,0.94,0.91
ANA,2022,ANA,ANA,Team Level,other,6,0.4,0.61,0.57,615.0,12.28,0.7,1.04,2.6,0.42,7.56,4.69,0.67,0.7,0.67,14.0,3.0,6.0,23.0,1.0,2.0,0.0,3.0,1.0,5.0,5.0,13.0,16.0,2.0,4.0,10.0,2.0,0.0,1.0,13.0,4.0,0.0,0.24,0.46,0.0,0.0,1.0,0.0,23.0,17.0,17.0,0.0,0.33,0.14,0.14,0.89,0.89,0.85,9.39,1.05,0.65,1.87,0.33,5.48,3.62,1.03,1.05,1.03,10.0,3.0,2.0,15.0,0.0,0.0,0.0,2.0,1.0,5.0,5.0,10.0,13.0,0.0,0.0,11.0,2.0,0.0,3.0,7.0,6.0,0.0,0.22,0.83,0.0,0.0,0.0,0.0,15.0,13.0,13.0,1.0,0.17,0.0,0.0,1.23,1.23,1.2
ANA,2022,ANA,ANA,Team Level,all,6,0.34,0.42,0.39,21955.0,150.06,11.84,10.34,35.71,4.96,82.53,61.61,11.43,11.88,11.47,156.0,51.0,80.0,287.0,14.0,16.0,2.0,34.0,4.0,68.0,71.0,142.0,193.0,31.0,68.0,168.0,105.0,32.0,55.0,155.0,40.0,12.0,3.93,4.59,3.32,6.0,4.0,4.0,280.79,207.0,205.2,28.0,2.34,3.1,3.1,11.09,11.1,10.92,227.87,23.31,16.12,50.66,7.59,131.16,90.16,22.33,23.38,22.39,247.0,72.0,78.0,397.0,27.0,23.0,5.0,50.0,6.0,111.0,102.0,220.0,292.0,26.0,58.0,192.0,143.0,37.0,48.0,221.0,80.0,18.0,7.02,10.11,6.18,7.0,13.0,7.0,407.43,319.0,323.81,14.0,3.53,4.85,4.85,21.99,22.07,21.45
ANA,2022,ANA,ANA,Team Level,5on5,6,0.4,0.43,0.4,17127.0,117.14,10.05,7.5,28.8,3.84,62.28,48.53,9.7,10.09,9.75,120.0,41.0,66.0,227.0,11.0,13.0,2.0,27.0,3.0,52.0,55.0,109.0,150.0,29.0,64.0,117.0,96.0,23.0,49.0,120.0,30.0,11.0,3.45,3.52,3.09,6.0,2.0,3.0,220.79,161.0,159.2,26.0,1.55,2.94,2.94,8.66,8.68,8.57,174.17,15.35,11.75,40.82,5.91,99.8,71.37,14.67,15.42,14.74,187.0,58.0,58.0,303.0,18.0,22.0,4.0,36.0,4.0,83.0,82.0,169.0,227.0,22.0,50.0,141.0,134.0,27.0,36.0,183.0,51.0,11.0,5.69,6.27,3.38,6.0,9.0,3.0,313.43,245.0,249.81,11.0,2.42,4.48,4.48,13.29,13.36,13.08
ANA,2022,ANA,ANA,Team Level,4on5,6,0.01,0.05,0.07,2355.0,2.88,0.04,0.1,0.43,0.11,1.03,2.29,0.04,0.04,0.04,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,4.0,0.0,0.0,25.0,3.0,6.0,1.0,4.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,1.0,0.02,0.0,0.0,0.06,0.06,0.06,41.33,6.46,3.55,7.6,1.25,25.03,13.1,6.18,6.46,6.18,46.0,11.0,17.0,74.0,9.0,1.0,1.0,10.0,1.0,22.0,14.0,37.0,48.0,2.0,4.0,24.0,2.0,2.0,7.0,29.0,22.0,6.0,1.05,2.86,2.55,1.0,4.0,4.0,74.0,57.0,57.0,0.0,0.9,0.38,0.38,6.99,6.99,6.68
ANA,2022,ANA,ANA,Team Level,5on4,6,0.7,0.87,0.86,1858.0,17.75,1.06,1.71,3.87,0.6,11.66,6.1,1.02,1.06,1.02,18.0,7.0,8.0,33.0,2.0,1.0,0.0,4.0,0.0,10.0,8.0,16.0,23.0,0.0,0.0,16.0,4.0,3.0,4.0,18.0,6.0,1.0,0.2,0.62,0.23,0.0,1.0,1.0,33.0,25.0,25.0,1.0,0.44,0.02,0.02,1.47,1.47,1.44,2.98,0.45,0.17,0.37,0.1,0.84,2.07,0.45,0.45,0.45,4.0,0.0,1.0,5.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,4.0,4.0,2.0,4.0,16.0,5.0,8.0,2.0,2.0,1.0,1.0,0.05,0.14,0.26,0.0,0.0,0.0,5.0,4.0,4.0,2.0,0.04,0.0,0.0,0.49,0.49,0.49
SJS,2022,SJS,SJS,Team Level,other,9,0.58,0.78,0.82,1418.0,22.81,2.85,1.69,4.46,0.85,14.64,7.51,2.64,2.85,2.64,24.0,8.0,11.0,43.0,2.0,3.0,0.0,6.0,0.0,14.0,7.0,22.0,30.0,0.0,0.0,15.0,7.0,1.0,3.0,21.0,8.0,3.0,0.95,0.86,1.04,0.0,1.0,1.0,43.0,32.0,32.0,0.0,0.48,0.44,0.44,2.88,2.88,2.71,5.01,2.08,0.26,0.61,0.14,1.92,1.98,2.08,2.08,2.08,5.0,2.0,5.0,12.0,2.0,0.0,0.0,2.0,1.0,0.0,2.0,3.0,5.0,1.0,2.0,14.0,5.0,1.0,2.0,2.0,2.0,3.0,0.1,0.19,1.79,0.0,0.0,2.0,12.0,7.0,7.0,1.0,0.07,0.0,0.0,2.14,2.14,2.14
SJS,2022,SJS,SJS,Team Level,all,9,0.47,0.48,0.47,32449.0,247.48,23.99,17.63,56.67,8.51,140.53,97.67,22.77,24.03,22.82,242.0,103.0,152.0,497.0,17.0,26.0,4.0,60.0,5.0,114.0,123.0,225.0,328.0,29.0,64.0,285.0,202.0,57.0,66.0,252.0,70.0,23.0,7.85,8.43,7.7,8.0,5.0,4.0,495.95,345.0,344.86,30.0,3.95,6.88,6.88,21.06,21.13,20.67,281.37,27.19,19.91,64.83,9.23,152.45,113.38,26.01,27.25,26.07,276.0,111.0,143.0,530.0,27.0,27.0,6.0,93.0,12.0,93.0,136.0,249.0,360.0,28.0,62.0,277.0,220.0,76.0,77.0,278.0,82.0,27.0,8.92,9.85,8.42,12.0,6.0,9.0,531.25,387.0,387.39,38.0,4.32,4.87,4.87,26.64,26.71,25.96
SJS,2022,SJS,SJS,Team Level,5on5,9,0.46,0.47,0.46,25981.0,184.24,16.35,12.5,44.29,6.39,103.81,75.66,15.9,16.4,15.95,176.0,83.0,119.0,378.0,13.0,17.0,2.0,47.0,4.0,82.0,96.0,163.0,246.0,26.0,58.0,219.0,189.0,47.0,57.0,193.0,53.0,13.0,6.04,6.4,3.92,8.0,4.0,1.0,376.95,259.0,258.86,27.0,2.58,3.91,3.91,15.02,15.1,14.9,221.77,19.21,14.84,53.78,7.38,119.41,89.38,18.67,19.26,18.73,224.0,80.0,122.0,426.0,22.0,21.0,5.0,76.0,10.0,69.0,107.0,202.0,282.0,24.0,54.0,218.0,207.0,63.0,63.0,226.0,60.0,18.0,7.27,7.12,4.81,11.0,5.0,6.0,427.25,304.0,304.39,36.0,3.08,3.32,3.32,18.97,19.03,18.69
